sale_id,user_id,artist_id,merchandise_id,sale_date,sale_price
SALE_00000,USER_02906,ARTIST_017,MERCH_0037,2024-05-11,26.26
SALE_00001,USER_07099,ARTIST_002,MERCH_0076,2024-01-31,42.49
SALE_00002,USER_02283,ARTIST_033,MERCH_0174,2024-08-22,29.48
SALE_00003,USER_06591,ARTIST_047,MERCH_0088,2025-04-22,50.63
SALE_00004,USER_05129,ARTIST_019,MERCH_0194,2024-07-15,22.65
SALE_00005,USER_01194,ARTIST_047,MERCH_0152,2024-06-03,46.2
SALE_00006,USER_08047,ARTIST_033,MERCH_0151,2025-05-19,69.53
SALE_00007,USER_09873,ARTIST_026,MERCH_0075,2024-12-24,67.54
SALE_00008,USER_07461,ARTIST_005,MERCH_0184,2024-03-19,29.08
SALE_00009,USER_03840,ARTIST_045,MERCH_0059,2024-01-15,53.56
SALE_00010,USER_08856,ARTIST_029,MERCH_0197,2024-04-23,36.21
SALE_00011,USER_06572,ARTIST_014,MERCH_0179,2024-05-09,29.5
SALE_00012,USER_00304,ARTIST_005,MERCH_0063,2025-05-17,65.22
SALE_00013,USER_06520,ARTIST_007,MERCH_0033,2025-07-06,20.82
SALE_00014,USER_04189,ARTIST_020,MERCH_0073,2025-01-22,25.57
SALE_00015,USER_08518,ARTIST_035,MERCH_0126,2024-09-15,42.84
SALE_00016,USER_01055,ARTIST_013,MERCH_0148,2025-05-04,56.16
SALE_00017,USER_03932,ARTIST_029,MERCH_0137,2024-09-22,21.71
SALE_00018,USER_02389,ARTIST_015,MERCH_0172,2023-12-24,22.35
SALE_00019,USER_05035,ARTIST_013,MERCH_0139,2024-06-15,39.94
SALE_00020,USER_07242,ARTIST_027,MERCH_0149,2024-08-08,17.21
SALE_00021,USER_04415,ARTIST_040,MERCH_0140,2024-08-19,69.45
SALE_00022,USER_09039,ARTIST_020,MERCH_0060,2025-01-24,25.38
SALE_00023,USER_00667,ARTIST_007,MERCH_0004,2024-07-07,22.42
SALE_00024,USER_06156,ARTIST_048,MERCH_0057,2025-03-27,73.12
SALE_00025,USER_07801,ARTIST_025,MERCH_0118,2024-04-11,56.19
SALE_00026,USER_01923,ARTIST_011,MERCH_0127,2024-07-31,38.84
SALE_00027,USER_06628,ARTIST_044,MERCH_0169,2024-09-27,16.19
SALE_00028,USER_01550,ARTIST_006,MERCH_0058,2024-06-09,53.29
SALE_00029,USER_08688,ARTIST_032,MERCH_0178,2024-11-08,46.79
SALE_00030,USER_06602,ARTIST_028,MERCH_0068,2025-07-24,41.77
SALE_00031,USER_09319,ARTIST_021,MERCH_0049,2025-01-14,18.08
SALE_00032,USER_09664,ARTIST_046,MERCH_0063,2025-04-09,22.2
SALE_00033,USER_03549,ARTIST_032,MERCH_0187,2024-04-22,44.47
SALE_00034,USER_07151,ARTIST_016,MERCH_0059,2024-07-21,16.62
SALE_00035,USER_07123,ARTIST_006,MERCH_0114,2024-07-26,43.48
SALE_00036,USER_09464,ARTIST_032,MERCH_0187,2025-05-24,20.62
SALE_00037,USER_07645,ARTIST_039,MERCH_0030,2024-05-17,63.14
SALE_00038,USER_04582,ARTIST_005,MERCH_0068,2024-03-01,70.98
SALE_00039,USER_06208,ARTIST_025,MERCH_0050,2025-02-01,24.86
SALE_00040,USER_03151,ARTIST_007,MERCH_0097,2024-10-05,23.81
SALE_00041,USER_03439,ARTIST_020,MERCH_0000,2024-10-25,46.4
SALE_00042,USER_04428,ARTIST_034,MERCH_0135,2024-02-10,22.13
SALE_00043,USER_02509,ARTIST_048,MERCH_0179,2024-06-20,21.53
SALE_00044,USER_05439,ARTIST_046,MERCH_0027,2025-01-25,61.54
